,Fighter,Finish_Description,Method,Opponent,Passes,Round,Strikes,Sub_Attempts,Take_Downs,Time,WL,Weight,Fight Time (s),Fight Time (mins)
398,Eduardo Garagorri,,U-DEC,Humberto Bandenay,1,3,65,0,1,5:00,Win,Featherweight,900,15.0
400,Volkan Oezdemir,Punch,KO/TKO,Ilir Latifi,0,2,64,0,0,4:31,Win,Light Heavyweight,571,9.516666666666667
402,Rodolfo Vieira,Arm Triangle,SUB,Oskar Piechota,4,2,18,1,3,4:26,Win,Middleweight,566,9.433333333333334
404,Enrique Barzola,,S-DEC,Bobby Moffett,0,3,83,0,3,5:00,Win,Featherweight,900,15.0
406,Gilbert Burns,,U-DEC,Aleksei Kunchenko,2,3,42,0,3,5:00,Win,Welterweight,900,15.0
408,Ciryl Gane,Arm Triangle,SUB,Raphael Pessoa,1,1,15,1,0,4:12,Win,Heavyweight,252,4.2
410,Marina Rodriguez,,U-DEC,Tecia Torres,0,3,84,1,1,5:00,Win,Women's Strawweight,900,15.0
412,Rogerio Bontorin,,KO/TKO,Raulian Paiva,1,1,8,0,2,2:56,Win,Flyweight,176,2.933333333333333
414,Chris Gutierrez,,S-DEC,Geraldo de Freitas,0,3,48,0,1,5:00,Win,Bantamweight,900,15.0
416,Alex Da Silva,,U-DEC,Kazula Vargas,4,3,17,0,3,5:00,Win,Lightweight,900,15.0
418,Veronica Macedo,Armbar,SUB,Polyana Viana,0,1,1,1,0,1:09,Win,Women's Flyweight,69,1.15
420,Colby Covington,,U-DEC,Robbie Lawler,0,5,179,0,10,5:00,Win,Welterweight,1500,25.0
422,Jim Miller,Guillotine Choke,SUB,Clay Guida,0,1,2,1,0,0:58,Win,Lightweight,58,0.9666666666666667
424,Nasrat Haqparast,Punch,KO/TKO,Joaquim Silva,0,2,21,0,0,0:36,Win,Lightweight,336,5.6
426,Gerald Meerschaert,Guillotine Choke,SUB,Trevin Giles,2,3,6,1,1,1:49,Win,Middleweight,709,11.816666666666666
428,Scott Holtzman,,KO/TKO,Dong Hyun Ma,3,2,44,0,1,5:00,Win,Lightweight,600,10.0
430,Kennedy Nzechukwu,,U-DEC,Darko Stosic,0,3,50,0,0,5:00,Win,Light Heavyweight,900,15.0
432,Mickey Gall,,U-DEC,Salim Touahri,1,3,50,0,1,5:00,Win,Welterweight,900,15.0
434,Antonina Shevchenko,Rear Naked Choke,SUB,Lucie Pudilova,1,2,16,3,0,1:20,Win,Women's Flyweight,380,6.333333333333333
436,Matt Schnell,Triangle Choke,SUB,Jordan Espinosa,0,1,3,1,0,1:23,Win,Flyweight,83,1.3833333333333333
438,Lauren Murphy,Knee,KO/TKO,Mara Romero Borella,1,3,24,0,0,1:46,Win,Women's Flyweight,706,11.766666666666667
440,Claudio Silva,Neck Crank,SUB,Cole Williams,1,1,32,1,1,2:35,Win,Welterweight,155,2.5833333333333335
442,Miranda Granger,,U-DEC,Hannah Goldy,0,3,61,0,0,5:00,Win,Women's Flyweight,900,15.0
444,Max Holloway,,U-DEC,Frankie Edgar,0,5,129,0,0,5:00,Win,Featherweight,1500,25.0
446,Cris Cyborg,,U-DEC,Felicia Spencer,1,3,122,0,0,5:00,Win,Women's Featherweight,900,15.0
448,Geoff Neal,Punches,KO/TKO,Niko Price,2,2,41,0,2,2:39,Win,Welterweight,459,7.65
